title,price,model_year,odo,aminities,specs,number_of_seats,drive_type,number_of_cylinders,body_type,transmission_type,fuel_type,rim_size,first_owner,accidents_(not_verified),currently_financed?,seller_nationality,no._of_keys,roof_type,color,service_history,warranty,service_contract
Hyundai Tucson I4 2.4L,"
SAR 29,000 ",2013 ,"323,000 KM","['audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,١٧,,3 or more accidents,No,India,1,,,Yes in Garage,,
GMC Yukon V8 5.3L XL,"
SAR 36,000 ",2011 ,"378,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Power foldable mirrors', 'Power Lumbar', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,8,2WD,8,SUV,Automatic,Petrol,17,,No,No,Saudi Arabia,1,,Silver,,,
Honda CR-V I4 2.4L,"
SAR 35,000 ",2012 ,"349,000 KM","['Cruise Control', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,AWD,4,SUV,Automatic,Petrol,17,Yes,1 accident,No,Saudi Arabia,2,,,,,
Hyundai Accent I4 1.4L,"
SAR 27,000 ",2016 ,"148,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,14,,No,No,Saudi Arabia,1,,,,,
Ford Expedition V8 5.4L,"
SAR 33,000 ",2012 ,"246,000 KM","['gps navigation gps system navigation', 'Rear Mirror Camera', 'Driver display', 'Bluetooth', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'blind spot & cross path alert blind spot & cross path detection blind spot alert blind spot assistance blind spot information Blind Spot Information System blind spot monitoring with rear cross-path detection blind spot sensor', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,7,4WD,8,SUV,Automatic,Petrol,18,,No,No,Pakistan,1,,,,,
Jeep Cherokee I4 2.4L Longitude,"
SAR 44,000 ",2014 ,"226,000 KM","['Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth']",GCC /Saudi Specs,5,4WD,4,SUV,Automatic,Petrol,17,,No,No,,1,,,,,
Mitsubishi ASX I4 2.4L,"
SAR 47,000 ",2018 ,"103,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,18,,No,No,Saudi Arabia,2,,,,,
Toyota Camry I4 2.5L GL,"
SAR 37,000 ",2016 ,"236,000 KM","['premium sound premium audio premium audio system', 'Power Lumbar', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,16,,No,No,Saudi Arabia,1,,,,,
Hyundai Sonata I4 2.4L,"
SAR 40,000 ",2018 ,"166,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Rear Mirror Camera', 'dynamic radar cruise control', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,17,,2 accidents,No,Saudi Arabia,1,,White,,,
Chevrolet Malibu I4 2.4L LTZ,"
SAR 19,000 ",2013 ,"281,000 KM","['Cruise Control', 'Bluetooth', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,17,,No,No,Saudi Arabia,1,,Black,,,
Ford Expedition V8 5.4L,"
SAR 27,000 ",2011 ,"552,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Bluetooth', 'Driver Seat with Memory memory function seat memory', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,7,2WD,8,SUV,Automatic,Petrol,١٨,Yes,1 accident,No,Saudi Arabia,2,,White,,,
Ford Expedition V8 5.4L,"
SAR 45,000 ",2013 ,"188,000 KM","['Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC Specs,7,2WD,8,SUV,Automatic,Petrol,18,,No,No,Saudi Arabia,2,,Black,Yes in Garage,,
Ford Expedition V8 5.4L EL XLT,"
SAR 21,000 ",2010 ,"338,000 KM","['Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror']",GCC /Saudi Specs,7,4WD,8,SUV,Automatic,Petrol,R18,,No,No,Saudi Arabia,1,,White,,,
GMC Yukon V8 5.3L,"
SAR 41,000 ",2011 ,"292,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Remote engine starter', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,9,AWD,8,SUV,Automatic,Petrol,17,,1 accident,No,Saudi Arabia,1,,Brown,,,
Hyundai H-1 I4 2.4L,"
SAR 32,000 ",2016 ,"447,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Bluetooth', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,6,2WD,4,Minivan,Automatic,Petrol,١٦,,No,No,Yemen,1,Sun Roof,White,,,
Mitsubishi Pajero V6 3.8L GLS,"
SAR 42,000 ",2014 ,"307,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Leather Seats', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat']",GCC /Saudi Specs,7,4WD,6,SUV,Automatic,Petrol,18,,1 accident,No,Saudi Arabia,1,Sun Roof,Black,,,
JAC HFC I4 2.4L,"
SAR 12,000 ",2014 ,"229,000 KM",[],GCC /Saudi Specs,10,2WD,4,Minivan,Manual,Petrol,15,Yes,No,No,Saudi Arabia,2,,Grey,,,
Kia Mohave V6 3.8L,"
SAR 38,000 ",2014 ,"253,000 KM","['Bluetooth', 'premium sound premium audio premium audio system', 'Power foldable mirrors', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,7,4WD,6,SUV,Automatic,Petrol,18,,3 or more accidents,No,Egypt,2,,Gold,Yes in Garage,,
Mitsubishi Pajero V6 3.8L GLS,"
SAR 47,000 ",2016 ,"226,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Bluetooth', 'LED Headlights', 'Emergency braking assist']",GCC /Saudi Specs,7,4WD,6,SUV,Automatic,Petrol,17,,No,No,Saudi Arabia,2,,Grey,,,
Dodge Durango V6 3.6L,"
SAR 37,000 ",2013 ,"147,000 KM","['Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system']",GCC /Saudi Specs,7,2WD,6,SUV,Automatic,Petrol,١٨,,3 or more accidents,No,Pakistan,1,,,Yes in Garage,,
Hyundai Sonata I4 2.4L,"
SAR 33,000 ",2014 ,"290,000 KM","['Cruise Control', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Power foldable mirrors', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,17,,3 or more accidents,No,Syria,2,Panoramic Roof,Grey,Yes in Garage,,
Kia Optima I4 2.4L,"
SAR 45,000 ",2014 ,"234,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,18,,1 accident,No,Saudi Arabia,1,Panoramic Roof,White,,,
Chevrolet Tahoe V8 5.3L,"
SAR 48,000 ",2010 ,"245,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'rear entertainment rear seat entertainment seatback video screens', 'premium sound premium audio premium audio system', 'Remote engine starter']",GCC /Saudi Specs,7,4WD,8,SUV,Automatic,Petrol,16,,No,No,Saudi Arabia,2,,Black,,,
Ford Flex V6 3.5L,"
SAR 40,000 ",2014 ,"232,000 KM","['Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth']",GCC /Saudi Specs,7,2WD,6,SUV,Automatic,Petrol,19,Yes,1 accident,No,,2,,Red,,,
Ford Expedition V8 5.4L,"
SAR 34,000 ",2010 ,"342,400 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'rear entertainment rear seat entertainment seatback video screens', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC Specs,8,4WD,8,SUV,Automatic,Petrol,18,Yes,No,No,Saudi Arabia,1,,Black,,,
Dodge Durango V8 5.7L,"
SAR 28,000 ",2013 ,"224,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Rear Mirror Camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Leather Seats', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Powered back door', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,7,4WD,8,SUV,Automatic,Petrol,18,,No,No,Jordan,1,Sun Roof,Black,,,
Chevrolet Traverse V6 3.6L LS,"
SAR 34,000 ",2012 ,"163,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth']",GCC /Saudi Specs,7,2WD,6,SUV,Automatic,Petrol,١٧,,No,No,Tajikistan,1,,Silver,Yes in Garage,,
Ford Expedition V8 5.4L,"
SAR 27,000 ",2011 ,"552,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Bluetooth', 'Driver Seat with Memory memory function seat memory', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,7,2WD,8,SUV,Automatic,Petrol,١٨,Yes,1 accident,No,Saudi Arabia,2,,White,,,
Ford Expedition V8 5.4L,"
SAR 45,000 ",2013 ,"188,000 KM","['Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Apple Car Play  Google Android Auto', 'premium sound premium audio premium audio system', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC Specs,7,2WD,8,SUV,Automatic,Petrol,18,,No,No,Saudi Arabia,2,,Black,Yes in Garage,,
Ford Expedition V8 5.4L EL XLT,"
SAR 21,000 ",2010 ,"338,000 KM","['Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror']",GCC /Saudi Specs,7,4WD,8,SUV,Automatic,Petrol,R18,,No,No,Saudi Arabia,1,,White,,,
GMC Yukon V8 5.3L,"
SAR 41,000 ",2011 ,"292,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Remote engine starter', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,9,AWD,8,SUV,Automatic,Petrol,17,,1 accident,No,Saudi Arabia,1,,Brown,,,
Hyundai H-1 I4 2.4L,"
SAR 32,000 ",2016 ,"447,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Bluetooth', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,6,2WD,4,Minivan,Automatic,Petrol,١٦,,No,No,Yemen,1,Sun Roof,White,,,
Mitsubishi Pajero V6 3.8L GLS,"
SAR 42,000 ",2014 ,"307,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Leather Seats', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat']",GCC /Saudi Specs,7,4WD,6,SUV,Automatic,Petrol,18,,1 accident,No,Saudi Arabia,1,Sun Roof,Black,,,
JAC HFC I4 2.4L,"
SAR 12,000 ",2014 ,"229,000 KM",[],GCC /Saudi Specs,10,2WD,4,Minivan,Manual,Petrol,15,Yes,No,No,Saudi Arabia,2,,Grey,,,
Kia Mohave V6 3.8L,"
SAR 38,000 ",2014 ,"253,000 KM","['Bluetooth', 'premium sound premium audio premium audio system', 'Power foldable mirrors', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,7,4WD,6,SUV,Automatic,Petrol,18,,3 or more accidents,No,Egypt,2,,Gold,Yes in Garage,,
Mitsubishi Pajero V6 3.8L GLS,"
SAR 47,000 ",2016 ,"226,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Bluetooth', 'LED Headlights', 'Emergency braking assist']",GCC /Saudi Specs,7,4WD,6,SUV,Automatic,Petrol,17,,No,No,Saudi Arabia,2,,Grey,,,
Dodge Durango V6 3.6L,"
SAR 37,000 ",2013 ,"147,000 KM","['Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system']",GCC /Saudi Specs,7,2WD,6,SUV,Automatic,Petrol,١٨,,3 or more accidents,No,Pakistan,1,,,Yes in Garage,,
Hyundai Sonata I4 2.4L,"
SAR 33,000 ",2014 ,"290,000 KM","['Cruise Control', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Power foldable mirrors', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,17,,3 or more accidents,No,Syria,2,Panoramic Roof,Grey,Yes in Garage,,
Kia Optima I4 2.4L,"
SAR 45,000 ",2014 ,"234,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'keyless keyless access system Keyless Entry and Drive keyless entry system remote keyless entry Remote Proximity Keyless Entry smart keyless entry', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,18,,1 accident,No,Saudi Arabia,1,Panoramic Roof,White,,,
Chevrolet Tahoe V8 5.3L,"
SAR 48,000 ",2010 ,"245,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'rear entertainment rear seat entertainment seatback video screens', 'premium sound premium audio premium audio system', 'Remote engine starter']",GCC /Saudi Specs,7,4WD,8,SUV,Automatic,Petrol,16,,No,No,Saudi Arabia,2,,Black,,,
Ford Flex V6 3.5L,"
SAR 40,000 ",2014 ,"232,000 KM","['Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth']",GCC /Saudi Specs,7,2WD,6,SUV,Automatic,Petrol,19,Yes,1 accident,No,,2,,Red,,,
Ford Expedition V8 5.4L,"
SAR 34,000 ",2010 ,"342,400 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'rear entertainment rear seat entertainment seatback video screens', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC Specs,8,4WD,8,SUV,Automatic,Petrol,18,Yes,No,No,Saudi Arabia,1,,Black,,,
Dodge Durango V8 5.7L,"
SAR 28,000 ",2013 ,"224,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Rear Mirror Camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Leather Seats', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Powered back door', 'cooled front seats cooled seats front ventilated cooling seats heated front seats heated rear seats heated seats ventilated front seats ventilated seats', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,7,4WD,8,SUV,Automatic,Petrol,18,,No,No,Jordan,1,Sun Roof,Black,,,
Chevrolet Traverse V6 3.6L LS,"
SAR 34,000 ",2012 ,"163,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth']",GCC /Saudi Specs,7,2WD,6,SUV,Automatic,Petrol,١٧,,No,No,Tajikistan,1,,Silver,Yes in Garage,,
Hyundai H-1 I4 2.4L,"
SAR 48,000 ",2017 ,"199,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Bluetooth', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,10,2WD,4,Minivan,Automatic,Petrol,16,,No,No,Saudi Arabia,1,,White,,,
Renault Duster I4 2.0L,"
SAR 16,000 ",2013 ,"215,000 KM",['Emergency braking assist'],GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,17,,1 accident,No,Saudi Arabia,1,,White,,,
MG ZS I4 1.5L,"
SAR 35,000 ",2018 ,"141,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'Leather Seats', 'Engine start/stop button Keyless Go keyless start push start push start button Smart entry & start system smart entry with push button', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,SUV,Automatic,Petrol,17,,1 accident,No,Saudi Arabia,1,,Black,,"Till 200,000 KM",
Dodge Challenger V6 3.6L,"
SAR 41,000 ",2012 ,"149,000 KM","['Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Emergency braking assist']",GCC /Saudi Specs,4,2WD,6,Coupe,Automatic,Petrol,18,,No,No,Afghanistan,1,,Black,,,
Kia Sorento V6 3.5L,"
SAR 26,000 ",2012 ,"225,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Power foldable mirrors', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,7,AWD,6,SUV,Automatic,Petrol,18,,1 accident,No,Egypt,,Panoramic Roof,Black,,,
Kia Optima I4 2.4L,"
SAR 35,000 ",2015 ,"264,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'Bluetooth', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,17,,No,No,Saudi Arabia,1,,,,,
Toyota Corolla I4 1.6L XLI,"
SAR 32,500 ",2016 ,"193,000 KM","['audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth', 'premium sound premium audio premium audio system']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,15,,3 or more accidents,No,India,1,,,Yes in Garage,,
Volkswagen Jetta I4-2.0L,"
SAR 26,500 ",2014 ,"257,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Bluetooth']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,16,,2 accidents,No,Egypt,1,Sun Roof,Silver,,,
Honda Accord I4 2.4L,"
SAR 35,000 ",2014 ,"324,000 KM","['Graphical Head Up Display', 'front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Bluetooth', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,١٧,,2 accidents,No,Saudi Arabia,2,Sun Roof,White,,,
Honda Accord V6 3.5L Crosstour,"
SAR 30,000 ",2011 ,"260,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'gps navigation gps system navigation', 'Camera Rear Parking Camera Rear view camera Reverse camera', 'Driver display', 'audio controls on steering wheel remote control buttons in steering wheel steering audio control steering control switches steering wheel audio controls steering wheel switches', 'Paddle shift', 'auto dim rear view mirror auto dimming rear view mirror auto dimming rear view system dimming rear view mirror', 'Bluetooth', 'premium sound premium audio premium audio system', 'Leather Seats', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat', 'Driver Seat with Memory memory function seat memory', 'Power foldable mirrors', 'Power Lumbar', 'fog lamps fogdriving lights projector fog lamps']",GCC /Saudi Specs,5,4WD,6,Sedan,Automatic,Petrol,18,,No,No,Saudi Arabia,1,Sun Roof,,,,
Toyota Fortuner I4 2.7L GX SR5,"
SAR 44,000 ",2013 ,"341,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Power foldable mirrors']",GCC /Saudi Specs,7,2WD,4,SUV,Automatic,Petrol,17,,No,No,,2,,,,,
Chevrolet Blazer V6 3.6L LTZ,"
SAR 36,000 ",2013 ,"239,000 KM","['front & rear park sensors front parking sensor park assist front and rear rear park sensor', 'Cruise Control', 'Bluetooth', 'Pre crash system pre crash safety system', 'LED Headlights', 'fog lamps fogdriving lights projector fog lamps', 'Emergency braking assist']",GCC /Saudi Specs,7,4WD,6,SUV,Automatic,Petrol,18,,No,No,Saudi Arabia,1,,,,,
Nissan Sunny I4 1.5L,"
SAR 30,000 ",2016 ,"147,000 KM","['Bluetooth', 'Power Lumbar', 'Pre crash system pre crash safety system', 'Emergency braking assist']",GCC /Saudi Specs,5,2WD,4,Sedan,Automatic,Petrol,15,Yes,No,No,India,2,,,,,
Dodge Challenger V8 5.7L R/T,"
SAR 40,000 ",2010 ,"147,000 Miles","['Cruise Control', 'premium sound premium audio premium audio system', 'Remote engine starter', 'Driver power seat electric seats front power seats front seats powered Power Driver Seat Power Passenger Seat']",American Specs,5,2WD,8,Coupe,Automatic,Petrol,20,,2 accidents,No,Egypt,1,,,Yes in Garage,,
