title,location,bedrooms,bathrooms,area,price,compound,location_neighborhood,location_city,Partly_furnished,Security,Balcony,Shared_Gym,Networked,Shared_Pool,View_of_Water,View_of_Landmark,Children's_Play_Area,Barbecue_Area,Covered_Parking,Shared_Spa,Unfurnished,Kitchen_Appliances,Central_A/C,Children's_Pool,Concierge,Built_in_Wardrobes,Lobby_in_Building,Study,Walk-in_Closet,Pets_Allowed,Maid_Service,Private_Garden,Maids_Room,Private_Gym,Private_Jacuzzi,Private_Pool,Furnished
"Apartment for sale in Leila Compound ,First New Cairo","Leila, North Investors Area, New Cairo City, Cairo",2,2,142,2500000.0,1,North Investors Area, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment 143m Fully Finished View Greenery & Lake,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,2,143,2534542.0,0,North Investors Area, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
Apartment 160m Fully Finished View Greenery & Lake,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,3,160,1080484.0,0,North Investors Area, New Cairo City,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0
Apartments 3 bed for sale in New Cairo - Castle landmark,"Castle Landmark, New Capital Compounds, New Capital City, Cairo",3,3,190,2173000.0,1,New Capital Compounds, New Capital City,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Modern Furnished Apartment  Sale In Maadi Sarayat,"Sarayat Al Maadi, Hay El Maadi, Cairo",3,2,230,3500000.0,0,Sarayat Al Maadi, Hay El Maadi,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
For sale  Ground  Apartment Prime location,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,1,128,1599000.0,1,The 5th Settlement, New Cairo City,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0
Paid 174K And Own Your Hotel Apt With Central A/Cs,"Rivan, New Capital Compounds, New Capital City, Cairo",2,1,109,174400.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0
"Ground Apartment 174m, in Mountain View Hyde Park.","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,174,4700000.0,1,The 5th Settlement, New Cairo City,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
special villa for sale on golden heights,"Golden Heights, North Investors Area, New Cairo City, Cairo",3,2,430,9500000.0,0,North Investors Area, New Cairo City,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limited Offer 2 bedrooms in hassan allam haptown,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2,99,1300000.0,1,Mostakbal City Compounds, Mostakbal City - Future City,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Delivered apartment for sale 130 m in Madinaty B6,"Madinaty, Cairo",3,2,130,1700000.0,0,Madinaty,Madinaty,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Apartment for sale overlooking the golf 210m,"Street 21, District 5, The 5th Settlement, New Cairo City, Cairo",3,2,210,2400000.0,0,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxurious villa|Katameya Heights|Direct Golf view,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",3,2,620,49000000.0,1,El Katameya, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment with garden in east town prime location,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,195,3300000.0,1,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment for sale in -  Katameya plaza 153Meter,"Al Katameya Plaza, The 1st Settlement, New Cairo City, Cairo",2,2,153,2300000.0,0,The 1st Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Unique Apartment 145 m at CFC very prime location,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",2,3,145,3900000.0,0,North Investors Area, New Cairo City,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0
Apartment for sale in New-Cairo - Akoya.,"Akoya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,168,2447600.0,1,The 5th Settlement, New Cairo City,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
amazing opportunity Apartment for sale the village,"The Village, South Investors Area, New Cairo City, Cairo",2,3,146,2200000.0,0,South Investors Area, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finished Flat 133 Meter in Mountain View Hyde Park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,133,1850000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Apartment 136 m in the Square sabour,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,136,1250000.0,1,The 5th Settlement, New Cairo City,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment 203 M phase 2 pool view fully Finished .,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,203,3280000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Apartment for sale in Bosco with club membership,"IL Bosco City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2,137,1800000.0,1,Mostakbal City Compounds, Mostakbal City - Future City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment for sale Waterway Installments 3 years,"The Water Way, North Investors Area, New Cairo City, Cairo",3,2,232,5180000.0,0,North Investors Area, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delivered Flat 215 SQM In Lake View With lAKE VIEW,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,215,3650000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
For sale at District 5 compound fifth settlement,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,174,3860000.0,1,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment 200 m for sale in New Cairo - Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,4000000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Apart Ground Floor 122m+Garden 77m Fully Finished.,"Fifth Square, North Investors Area, New Cairo City, Cairo",2,2,122,2600000.0,0,North Investors Area, New Cairo City,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0
Apartment in Capital Way fully finished with AC'S,"The Capital Way, New Capital Compounds, New Capital City, Cairo",3,3,175,3600000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Galleria Moon Valley Private Garden Delivered,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",2,2,121,1600000.0,0,South Investors Area, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Semi-Finished Apartment In Stone Residence 175m,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,175,1300000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
amazing! apartment direct on lake at vgk for sale,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,170,1800000.0,1,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a very prime location at east town new cairo,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,155,2350000.0,1,The 5th Settlement, New Cairo City,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
Ready to move unit with 30% down payment on 3years,"The Water Way, North Investors Area, New Cairo City, Cairo",3,3,232,5400000.0,0,North Investors Area, New Cairo City,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0
Apartment For Sale Cairo Festival City Move Now,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",2,2,135,3300000.0,0,North Investors Area, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Apartment for sale in Mountain View Hyde Park,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,231,3100000.0,1,The 5th Settlement, New Cairo City,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"Flat Ground Floor 139 Sq,m N Galleria Moon Valley","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,2,139,2075000.0,0,South Investors Area, New Cairo City,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Apartment 210 m in Castle Land Mark new capital,"Castle Landmark, New Capital Compounds, New Capital City, Cairo",4,4,210,2623000.0,1,New Capital Compounds, New Capital City,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
Apartment 135 Sqm For Sale In Galleria With Credit,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",2,2,135,2357000.0,0,South Investors Area, New Cairo City,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
apartment for sale in villete sodic sky condos186M,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,186,4100000.0,1,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penthouse for Sale Fully Finished in Al Marasem,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,3,167,4210000.0,0,North Investors Area, New Cairo City,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Even if the area is 120, the lowest load ratio","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,120,888000.0,1,The 5th Settlement, New Cairo City,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
45%Discount IN New Capital |10%Dp OVER 7Years,"Midtown Sky, New Capital Compounds, New Capital City, Cairo",2,1,90,545000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Apartment 75m new capital 10% dis 8% D.P 8 years,"Armonia, New Capital Compounds, New Capital City, Cairo",1,1,75,1037700.0,1,New Capital Compounds, New Capital City,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
for sale apartment 141m  at mountain viewhyde park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,141,1550000.0,1,The 5th Settlement, New Cairo City,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Apartment for sale in Hyde Park  196m installments,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,196,1924750.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Studio for Sale in Village Gate palm hills,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",1,1,88,1600000.0,0,South Investors Area, New Cairo City,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1
Apartment 150m for sale in Sueno New Capital,"Sueno, New Capital Compounds, New Capital City, Cairo",3,3,150,1650000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
El Sherouk City Finished Apartment & Delivered,"Al Waha St., 4th Neighborhood, 3rd District West, Shorouk City, Cairo",3,1,147,850000.0,0,3rd District West, Shorouk City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wonderful apartment 155m in Granda Life,"Granda, 5th District, Shorouk City, Cairo",3,2,155,1550000.0,0,5th District, Shorouk City,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0
Fully Finished Apartment 126m Ready To Move,"El Narges Buildings, Al Narges, New Cairo City, Cairo",2,1,126,1350000.0,0,Al Narges, New Cairo City,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Ready to move Unit 20% down payment over 4 years,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",3,3,194,5500000.0,0,North Investors Area, New Cairo City,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
in VGK compound - New Cairo Apartment 174 sqm,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,174,1700000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
For sale apartment 125m+50m garden in Granda Life,"Granda, 5th District, Shorouk City, Cairo",2,2,125,1500000.0,0,5th District, Shorouk City,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0
Apartment For Sale In New Cairo District 5| 8Years,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,125,2258000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0
Ownapartment front of CityStars with10%downpayment,"Al Nozha St., Almazah, Heliopolis - Masr El Gedida, Cairo",2,2,125,1562000.0,0,Almazah, Heliopolis - Masr El Gedida,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
Finished Apartment 133m in Mountain View Hyde Park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,133,2000000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"Apartment  in the capital, in a prime location","Atika, New Capital Compounds, New Capital City, Cairo",3,3,144,2016000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
"Rivan apartment, fully finished, 130 m 10 years","Rivan, New Capital Compounds, New Capital City, Cairo",2,2,130,1800000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a prime location  at boulvard with installments,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,289,11769000.0,1,The 5th Settlement, New Cairo City,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In Eastown SODIC 5th settlement apartment for sale,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,192,3250000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Eastown SODIC apartment 185m for sale Hot deal,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,185,2800000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Apartment for sale in hyde park compound 185 SQM,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,185,2860000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
شقة للبيع 280م بمدينة نصر شارع رئيسى بأرقى موقع,"Mostafa Al Nahas St., 6th Zone, Nasr City, Cairo",3,2,280,2500000.0,0,6th Zone, Nasr City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three apartments for sale in  one in Zamalek,"Mahmoud Azmy St., Zamalek, Cairo",2,2,124,2300000.0,0,Mahmoud Azmy St., Zamalek,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Apartment with Installments in Granda El Shorouk,"Granda, 5th District, Shorouk City, Cairo",3,3,213,2360000.0,0,5th District, Shorouk City,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unique Property Sky Loft In Mountain View,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,185,3500000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For Sale Apartment 155m in Eastown New Cairo AUC,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,4,155,2500000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Book your unit with a 0% dp and the rest on 10 yrs,"De Joya, New Capital Compounds, New Capital City, Cairo",3,2,135,1481250.0,1,New Capital Compounds, New Capital City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
اسكن على خطوات من بالم هيلز التجمع الخامس,"Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,183,1350000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
For Sale In New Capital Apartment Price/m 7800,"Catalan, New Capital Compounds, New Capital City, Cairo",3,3,165,1365000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Own special unit in new capital with 25% discount,"Castle Landmark, New Capital Compounds, New Capital City, Cairo",3,3,190,1680750.0,1,New Capital Compounds, New Capital City,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Amazing price Apartment at Asala Compound finished,"Asala, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,190,2250000.0,1,The 5th Settlement, New Cairo City,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Apartment in Century city without down Payment....,"Century City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,121,1573000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
Great opportunity in Swanlake residence 2 bedrooms,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",2,2,120,168000.0,0,The 1st Settlement, New Cairo City,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
Apartment for sale in rehab city first tenant,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",3,3,119,1850000.0,0,Al Rehab, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment For Sale In Village Gate Katameya,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",2,2,159,1950000.0,0,South Investors Area, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Own Ur Appartment Fully finished with 14 years ins,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",2,2,105,1900000.0,1,El Shorouk Compounds, Shorouk City,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Prime Unit 195 sqm with installments over 8 years,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",3,3,195,5700000.0,0,North Investors Area, New Cairo City,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
Apartment 300 M for sale in banafseg 11 new cairo,"Suleiman Al Halabi St., El Banafseg 11, El Banafseg, New Cairo City, Cairo",4,3,300,2900000.0,0,El Banafseg, New Cairo City,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Apartment for Sale in Zed East,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,166,4200000.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Apartment 181m For Sale on De Joya,"De Joya, New Capital Compounds, New Capital City, Cairo",3,3,181,1749000.0,1,New Capital Compounds, New Capital City,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
Apartment for sale in galleria moon valley Ba7ary,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,2,160,1350000.0,0,South Investors Area, New Cairo City,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
Apartment 172m good location MountainView Hydepark,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,172,1750000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
Apartment for sale in the Fifth Settlement 245m,"Al Shouyfat, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,245,2700000.0,1,The 5th Settlement, New Cairo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment Prime Location Pool View at Moon Valley,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,3,152,2583000.0,0,South Investors Area, New Cairo City,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Good Opportunity For Investment Next Swiss Univer.,"Park Lane, New Capital Compounds, New Capital City, Cairo",3,2,190,192000.0,1,New Capital Compounds, New Capital City,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Apartment  for sale in The square 162 Meter,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,162,1425000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
3 BD Aprt 170m in icity with 10% DP.,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,170,2692734.0,1,The 5th Settlement, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amazing price Apartment 240 m Violet Villas (View),"El Banafseg Apartment Buildings, El Banafseg, New Cairo City, Cairo",3,3,240,2600000.0,0,El Banafseg, New Cairo City,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Apartment 185m- sale with installment in Hyde Park,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,185,3454000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
Modern Furnished Apartment For Sale In Maadi Degla,"Degla Square, Degla, Hay El Maadi, Cairo",3,2,180,3000000.0,0,Degla, Hay El Maadi,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Apartment In Galleria Residences Landscape View,"Galleria Residences, South Investors Area, New Cairo City, Cairo",2,2,125,1350000.0,0,South Investors Area, New Cairo City,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
apartment in eastown for sale delivery now,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,184,3943000.0,1,The 5th Settlement, New Cairo City,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apartment for sale in galleria moon valley Ba7ary,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,3,194,2200000.0,0,South Investors Area, New Cairo City,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0
Apartment for sale in IL Bosco the New Capital,"IL Bosco, New Capital Compounds, New Capital City, Cairo",3,2,154,1950000.0,1,New Capital Compounds, New Capital City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
installments over 10 years 139m in ZED East,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,139,3600000.0,1,The 5th Settlement, New Cairo City,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
Apartment overlooking the lagoon for sale -.......,"Park View, North Investors Area, New Cairo City, Cairo",3,2,175,3300000.0,0,North Investors Area, New Cairo City,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
