title,price,location,property_type,bedrooms,bathrooms,area,amenities,creattion_date
Apartment for sale in  Sarai By Installment 10 Years,"
          994,000
              EGP  ","Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,studio ,1 ,65 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:11 days ago
apartment 120m for sale in midtown condo new capital,"
          1,067,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,120 sqm,[],Listed:10 days ago
Capital Way Apartment 212m 5%Dp & 9 years install,"
          250,000
              EGP  ","The Capital Way, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,212 sqm,"['Partly furnished', 'Kitchen Appliances', 'Central A/C', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:14 days ago
Apartment 133 m2 for sale in  Mountain View Hyde Park,"
          1,500,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,133 sqm,"['Unfurnished', 'Security', 'Balcony']",Listed:9 days ago
Good Chance & Luxury Finishing 81m in Madinaty b6,"
          1,100,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,1 ,81 sqm,"['Unfurnished', 'Security', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area']",Listed:8 days ago
apartment 136m ready to move Lakeview 20% over 7 years,"
          2,600,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,136 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Balcony', 'Shared Gym', 'Maids Room', 'Study', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:8 days ago
Apartment 166m at New capital 195877 D.P & 8 years,"
          195,877
              EGP  ","R7, New Capital City, Cairo",Apartment,4 ,3 ,166 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Shared Pool', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:7 days ago
"Apartment 205m with Central ACs, Parking & Storage","
          5,250,000
              EGP  ","Cairo Festival City, North Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,205 sqm,[],Listed:7 days ago
Apartment for sale in stone residence ready to deliver,"
          1,985,000
              EGP  ","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,140 sqm,"['Unfurnished', 'Security', 'Balcony', 'Walk-in Closet', 'Shared Pool', 'View of Water', 'Barbecue Area', 'Covered Parking']",Listed:10 days ago
Apartment 220m in new Capital,"
          2,585,000
              EGP  ","Green Avenue, New Capital Compounds, New Capital City, Cairo",Apartment,4 ,3 ,220 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Lobby in Building', 'Balcony', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Covered Parking']",Listed:14 days ago
Apartment for Sale in Stone Residence Under Market Price,"
          2,700,000
              EGP  ","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,220 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:10 days ago
Apartment For Sale in Eastown View Park 8 acres DIRECTLY,"
          3,750,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,195 sqm,"['Unfurnished', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', 'View of Water', ""Children's Play Area"", 'Shared Spa']",Listed:10 days ago
the best view over the villas with 40% discount,"
          1,500,000
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,190 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:17 days ago
Apartment for sale in zahraa elmaadi 155m .,"
          1,250,000
              EGP  ","Corniche St., El Mearag City, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,155 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area']",Listed:16 days ago
Apartment for sale in zahraa elmaadi 155m .,"
          1,250,000
              EGP  ","Corniche St., El Mearag City, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,155 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area']",Listed:16 days ago
uptown aurora studio 108 sqm for sale,"
          2,500,000
              EGP  ","Aurora, Uptown Cairo, Mokattam, Cairo",Apartment,1 ,2 ,108 sqm,"['Partly furnished', 'Central A/C', 'Security', 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:15 days ago
apartment 151 for sale fully finished in swan lake,"
          800,000
              EGP  ","Swan Lake, The 1st Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,151 sqm,"['Unfurnished', 'Central A/C', 'Security', 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Balcony', 'Shared Gym', 'Networked', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:18 days ago
Apartment for sale185m2 near to AUC amazing price.,"
          1,600,000
              EGP  ","Sakan, Ext North Inves Area, New Cairo City, Cairo",Apartment,3 ,3 ,185 sqm,[],Listed:22 days ago
Apartment for sale in Mivida Emaar,"
          4,500,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,186 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Maid Service', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:18 days ago
Own your unit at Sherouk Compound,"
          2,000,000
              EGP  ","Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",Apartment,2 ,2 ,105 sqm,"['Unfurnished', 'Security', 'Balcony', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area""]",Listed:17 days ago
Apartment prime location in Lake View Residence,"
          2,254,600
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,144 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Pets Allowed', ""Children's Play Area"", 'Covered Parking']",Listed:17 days ago
Apartment Eastown sodic 154 m prime location,"
          2,250,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,154 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Maid Service', 'Balcony', 'Shared Gym', 'Maids Room', 'Walk-in Closet', 'Pets Allowed', 'View of Landmark', 'Barbecue Area', 'Shared Spa']",Listed:15 days ago
Fully finished apartment ready for living in HPR1,"
          3,200,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,208 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:17 days ago
Apartment for sale in Tag sultan 122 m,"
          1,300,000
              EGP  ","Tag Sultan, Ring Road, Cairo",Apartment,3 ,3 ,122 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Gym', 'Shared Pool', 'Pets Allowed', 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:19 days ago
For sale in Village gate apartment 2 bd f finished,"
          2,300,000
              EGP  ","Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,146 sqm,"['Partly furnished', 'Kitchen Appliances', 'Security', 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Study', 'Walk-in Closet', 'Networked', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:20 days ago
the village new cairo apartment with area 146 m,"
          2,350,000
              EGP  ","The Village, South Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,146 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', 'Maid Service', 'Balcony', 'Shared Gym', 'Maids Room', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', 'Covered Parking']",Listed:17 days ago
Apartment for sale in zahraa elmaadi 270m + Garden,"
          3,000,000
              EGP  ","7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,270 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'Pets Allowed', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:16 days ago
apartment  for sale in fifth square - area 143 m,"
          2,500,000
              EGP  ","Fifth Square, North Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,143 sqm,"['Unfurnished', 'Kitchen Appliances', 'Security', ""Children's Pool"", 'Maid Service', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', ""Children's Play Area"", 'Covered Parking']",Listed:16 days ago
Apartment for sale in Village Gate Palm Hills,"
          2,300,000
              EGP  ","Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,146 sqm,"['Unfurnished', 'Security', 'Maid Service', 'Balcony', 'Shared Gym', 'Study', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Covered Parking', 'Shared Spa']",Listed:16 days ago
Apartment 145m for sale without over in Hyde park,"
          1,853,500
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,145 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:16 days ago
Apartment  with installments|Prime location|Mivida,"
          2,250,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,1 ,1 ,95 sqm,"['Unfurnished', 'Security', 'Concierge', 'Built in Wardrobes', 'Balcony', 'Shared Gym', 'Study', 'Networked', 'Shared Pool', 'View of Landmark', ""Children's Play Area"", 'Covered Parking', 'Shared Spa']",Listed:20 days ago
Apartment for sale in Rehab + Garden villas view,"
          2,350,000
              EGP  ","Othmman Ibn Affan St., Rehab City Fifth Phase, Al Rehab, New Cairo City, Cairo",Apartment,3 ,2 ,125 sqm,[],Listed:16 days ago
Apartment for sale 125m  Degla View Maadi compound,"
          1,350,000
              EGP  ","Ring Road, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,2 ,1 ,125 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Shared Pool', 'Shared Spa']",Listed:16 days ago
Apartment In El-Banafseg fully Finished Delivered,"
          2,300,000
              EGP  ","El Banafseg 8, El Banafseg, New Cairo City, Cairo",Apartment,4 ,3 ,240 sqm,"['Unfurnished', 'Security', 'Balcony', 'Pets Allowed']",Listed:10 days ago
"Own your apartment in Waterway Compound, immediate receipt","
          5,379,000
              EGP  ","The Water Way, North Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,163 sqm,"['Furnished', 'Kitchen Appliances', 'Central A/C', 'Private Jacuzzi', 'Security', 'Private Garden']",Listed:11 days ago
Apartment For Sale in Lake View Residence Under Market Price,"
          2,700,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,197 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:10 days ago
Super Lux apartment for sale in Asmaa Fahmy Street 240 meters,"
          2,200,000
              EGP  ","Asmaa Fahmy St., Ard El Golf, Heliopolis - Masr El Gedida, Cairo",Apartment,4 ,3 ,240 sqm,"['Unfurnished', 'Concierge', 'Balcony', 'Networked', 'Pets Allowed', 'View of Landmark']",Listed:8 days ago
Apartment for Sale in El Lotus,"
          1,650,000
              EGP  ","El Lotus, New Cairo City, Cairo",Apartment,3 ,3 ,220 sqm,"['Unfurnished', 'Security', 'Balcony', 'Pets Allowed']",Listed:10 days ago
Apartment for sale 160 m with 15% down payment in Menorca compound,"
          1,568,000
              EGP  ","Menorca, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,160 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:12 days ago
Apartment 144 m on the central axis and installments up to 10 years,"
          1,454,371
              EGP  ","R7, New Capital City, Cairo",Apartment,3 ,3 ,144 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Private Gym', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:7 days ago
"Apartment for sale in the Fifth Settlement, Super Lux, with kitchen","
          2,100,000
              EGP  ","Al Shouyfat St., District 1, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,196 sqm,"['Partly furnished', 'Kitchen Appliances', 'Concierge', 'Lobby in Building', 'Networked', 'Pets Allowed', 'View of Landmark']",Listed:8 days ago
Apartment 260m for sale with 10% down payment in Midtown Condo Compound,"
          2,444,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,260 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Balcony', 'Shared Gym', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:7 days ago
Apartment 70 meters and garden 50 meters in a total of 103 buildings 25 apartment 1,"
          800,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,1 ,70 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Balcony', 'Networked', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area']",Listed:8 days ago
Fully finished apartment  open view  second floor,"
          2,600,000
              EGP  ","El Nakheel, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Study', 'Walk-in Closet', 'Networked', 'Pets Allowed', 'Barbecue Area']",Listed:17 days ago
شقة للبيع بمدينة نصر بالمنطقة الاولى,"
          1,000,000
              EGP  ","Mohamed Sakr Khafaga St., 1st Zone, Nasr City, Cairo",Apartment,2 ,2 ,140 sqm,[],Listed:19 days ago
5% down payment rest over 8 years payement plan,"
          2,000,000
              EGP  ","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,100 sqm,"['Partly furnished', 'Kitchen Appliances', 'Central A/C', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Maid Service', 'Shared Gym', 'Maids Room', 'Study', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:20 days ago
131m Best Location Lowest Price Apartment For Sale,"
          1,150,000
              EGP  ","The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,131 sqm,"['Unfurnished', 'Security', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', 'View of Water']",Listed:18 days ago
"Apartment 206 for sale in Golden Yard, New Capital","
          3,250,000
              EGP  ","Golden Yard, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,260 sqm,"['Unfurnished', 'Security', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:18 days ago
Apartment for sale in Mountain View Hyde Park    .,"
          1,870,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,115 sqm,[],Listed:21 days ago
Apartment 236m for sale in B1 finished Madinaty .,"
          3,350,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,4 ,236 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Balcony', 'Shared Gym', 'Maids Room', 'Shared Pool', 'Pets Allowed', ""Children's Play Area"", 'Barbecue Area', 'Shared Spa']",Listed:21 days ago
Apartment for sale at 5th Settlement-special offer,"
          233,255
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,139 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Networked', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Covered Parking', 'Shared Spa']",Listed:15 days ago
Apartment for sale - El-Bnafseg New Cairo city,"
          2,600,000
              EGP  ","El Banafseg 3, El Banafseg, New Cairo City, Cairo",Apartment,3 ,2 ,200 sqm,[],Listed:15 days ago
capital gardens palm hills  - apartment 206 M,"
          2,050,000
              EGP  ","Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,3 ,206 sqm,"['Unfurnished', 'Kitchen Appliances', 'Central A/C', 'Security', ""Children's Pool"", 'Maid Service', 'Balcony', 'Shared Gym', 'Maids Room', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Covered Parking']",Listed:15 days ago
Apartment 135 M in The Square landscape view Cash.,"
          1,300,000
              EGP  ","The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,135 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Study', 'Networked', 'Pets Allowed', 'View of Landmark']",Listed:18 days ago
"Apartment for sale in Taj Sultan, ready to move","
          2,260,000
              EGP  ","Tag Sultan, Ring Road, Cairo",Apartment,3 ,3 ,182 sqm,[],Listed:17 days ago
SARAI units with Special offer up to 50% discount,"
          580,000
              EGP  ","Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,3 ,174 sqm,"['Partly furnished', 'Kitchen Appliances', 'Central A/C', 'Private Jacuzzi', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Private Gym', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Private Pool', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:16 days ago
Own your apartment now in oia new capital,"
          2,145,000
              EGP  ","Oia, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,165 sqm,"['Unfurnished', 'Security', 'Lobby in Building', 'Shared Gym', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:22 days ago
Apartment in stone residence prime location,"
          3,200,000
              EGP  ","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm,"['Unfurnished', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Balcony', 'Shared Gym', 'Maids Room', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:21 days ago
Apartment For Sale in Hyde Park 10 % Down Payment,"
          2,335,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,135 sqm,"['Unfurnished', 'Security', 'Balcony', 'Pets Allowed', 'View of Landmark']",Listed:16 days ago
تعاقد بدون مقدم على شقة150م ارضى بالقرب من التسعين,"
          1,029,318
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,150 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Walk-in Closet', 'Networked', 'Pets Allowed', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking']",Listed:16 days ago
fully finished apartment with the best price,"
          1,890,000
              EGP  ","The Loft, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,140 sqm,"['Furnished', 'Kitchen Appliances', 'Security', 'Private Garden', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:17 days ago
apartment for sale in mountain view hyde park 274m,"
          3,089,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,274 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Maid Service', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Study', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', 'View of Landmark', 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:17 days ago
An apartment in stone under market price for sale,"
          1,632,000
              EGP  ","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,175 sqm,"['Unfurnished', 'Security', 'Balcony', 'Shared Gym', 'Walk-in Closet', 'Shared Pool', 'Pets Allowed', ""Children's Play Area"", 'Shared Spa']",Listed:18 days ago
for sale apartment in zavani new capital 9 years,"
          1,698,790
              EGP  ","Zavani, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,158 sqm,[],Listed:16 days ago
Ground floor apartment for sale Meter price 5550,"
          1,273,800
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,216 sqm,[],Listed:15 days ago
apartment 109 m fully finished with central AC's.,"
          1,630,000
              EGP  ","Rivan, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,109 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:21 days ago
Apartment 165 SQ.M in  Cube Casa Fifth Settlement,"
          1,402,500
              EGP  ","New Narges, New Cairo City, Cairo",Apartment,3 ,2 ,165 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'View of Landmark', 'Covered Parking']",Listed:21 days ago
Apartment For Sale in Tag sultan 156 m,"
          1,872,000
              EGP  ","Tag Sultan, Ring Road, Cairo",Apartment,3 ,3 ,156 sqm,"['Unfurnished', 'Concierge', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Study', 'Shared Pool', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:20 days ago
Apartment for sale in 5th settlement25%downpayment,"
          348,750
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm,"['Unfurnished', 'Security', 'Private Garden', 'Concierge', 'Lobby in Building', 'Shared Gym', 'Networked', 'Pets Allowed', 'View of Landmark', ""Children's Play Area"", 'Covered Parking', 'Shared Spa']",Listed:15 days ago
Apartment 199m with installments 2025 in hyde park,"
          1,880,650
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,199 sqm,"['Unfurnished', 'Security', ""Children's Pool"", 'Maid Service', 'Lobby in Building', 'Balcony', 'Shared Gym', 'Maids Room', 'Walk-in Closet', 'Networked', 'Shared Pool', 'Pets Allowed', 'View of Water', 'View of Landmark', ""Children's Play Area"", 'Barbecue Area', 'Covered Parking', 'Shared Spa']",Listed:20 days ago
Apartment in Mivida parcel 23 clubhouse view cash.,"
          3,300,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,159 sqm,"['Unfurnished', 'Security', 'Concierge', 'Lobby in Building', 'Balcony', 'Networked', 'Pets Allowed', 'View of Landmark']",Listed:18 days ago
Panoramic Nile Views new Modern In Zamalek 4 Sale,"
          20,000,000
              EGP  ","Kamal Al Tawil St. (El Montazah), Zamalek, Cairo",Apartment,3 ,3 ,350 sqm,"['Partly furnished', 'Kitchen Appliances', 'Central A/C', 'Private Jacuzzi', 'Security', 'Concierge', 'Built in Wardrobes', 'Lobby in Building', 'Balcony', 'Maids Room', 'Study', 'Walk-in Closet', 'Networked', 'Pets Allowed', 'View of Water', 'View of Landmark', 'Covered Parking']",Listed:16 days ago
